Datetime,Latitude,Longitude,Height,Q,ns,Next_Lat,Next_Lon,Time_Diff,Distance,Speed,Acceleration,Turn_Rate,Road_Type
2023-11-29 04:57:17,12.771064416,77.351724146,681.055,5,32,12.770988695,77.351507734,1.0,24.933277521701704,24.933277521701704,-1.0709871469370498,0.1434130347991669,Main Road
2023-11-29 04:57:18,12.770988695,77.351507734,679.0807,5,32,12.7709123,77.351277486,1.0,26.374491275573696,26.374491275573696,1.4412137538719918,0.5865932195334693,Main Road
2023-11-29 04:57:19,12.7709123,77.351277486,678.8265,5,32,12.770847179,77.351053093,1.0,25.3886372179009,25.3886372179009,-0.9858540576727961,0.9290181330451048,Main Road
2023-11-29 04:57:20,12.770847179,77.351053093,679.205,5,32,12.770777846,77.350819874,1.0,26.44018202471404,26.44018202471404,1.0515448068131406,2.172320629481135,Main Road
2023-11-29 04:57:21,12.770777846,77.350819874,678.6211,5,32,12.770719603,77.350586913,1.0,26.08018125003414,26.08018125003414,-0.3600007746799001,0.3732992053852797,Main Road
2023-11-29 04:57:22,12.770719603,77.350586913,678.3542,5,32,12.770658361,77.350344033,1.0,27.20501966347919,27.20501966347919,1.124838413445051,2.5196544869121027,Main Road
2023-11-29 04:57:23,12.770658361,77.350344033,677.2428,5,32,12.770603353,77.350106146,1.0,26.51269616306551,26.51269616306551,-0.6923235004136821,0.11520176491683287,Main Road
2023-11-29 04:57:24,12.770603353,77.350106146,676.791,5,32,12.770548307,77.349869585,1.0,26.373784773987293,26.373784773987293,-0.13891138907821698,1.132084679845292,Main Road
2023-11-29 04:57:25,12.770548307,77.349869585,678.6635,5,32,12.770498587,77.34962758,1.0,26.820079051788113,26.820079051788113,0.44629427780082054,0.07920581103235236,Main Road
2023-11-29 04:57:26,12.770498587,77.34962758,677.1865,5,32,12.770455033,77.349385613,1.0,26.683132471122672,26.683132471122672,-0.13694658066544108,1.4893191033018809,Main Road
2023-11-29 04:57:27,12.770455033,77.349385613,675.7934,5,32,12.770414428,77.349152714,1.0,25.65698391699102,25.65698391699102,-1.0261485541316517,1.4059238647634658,Main Road
2023-11-29 04:57:28,12.770414428,77.349152714,676.6328,5,32,12.770384957,77.348918041,1.0,25.659087886218607,25.659087886218607,0.0021039692275870436,0.3140786250801,Main Road
2023-11-29 04:57:29,12.770384957,77.348918041,675.2736,5,32,12.770344176,77.348687916,1.0,25.364407449366837,25.364407449366837,-0.29468043685177037,2.731963232878371,Main Road
2023-11-29 04:57:30,12.770344176,77.348687916,676.8616,5,32,12.770318235,77.348457446,1.0,25.15908398597698,25.15908398597698,-0.2053234633898562,2.8912746479583262,Main Road
2023-11-29 04:57:31,12.770318235,77.348457446,676.0127,5,32,12.770286546,77.348229901,1.0,24.92629858315031,24.92629858315031,-0.23278540282667137,3.6271838921432646,Main Road
2023-11-29 04:57:32,12.770286546,77.348229901,676.7563,5,32,12.770257205,77.347997948,1.0,25.364711875842758,25.364711875842758,0.43841329269244866,1.5062810694289084,Main Road
2023-11-29 04:57:33,12.770257205,77.347997948,673.1089,5,32,12.770227905,77.347769578,1.0,24.978840981679834,24.978840981679834,-0.38587089416292386,0.7189241750220532,Main Road
2023-11-29 04:57:34,12.770227905,77.347769578,672.8641,5,32,12.770195749,77.347552712,1.0,23.788171983427247,23.788171983427247,-1.1906689982525869,0.10177341066726342,Main Road
2023-11-29 04:57:35,12.770195749,77.347552712,675.6788,5,32,12.770165066,77.347329511,1.0,24.444185001187797,24.444185001187797,0.6560130177605501,1.1229918235256235,Main Road
2023-11-29 04:57:36,12.770165066,77.347329511,674.2232,5,32,12.77013143,77.347107584,1.0,24.355648248939335,24.355648248939335,-0.08853675224846214,0.6068526856838901,Main Road
2023-11-29 04:57:37,12.77013143,77.347107584,676.1118,5,32,12.770095862,77.346893166,1.0,23.586402846328376,23.586402846328376,-0.7692454026109594,0.7910695671693304,Main Road
2023-11-29 04:57:38,12.770095862,77.346893166,677.392,5,32,12.770068801,77.346662338,1.0,25.21223604905059,25.21223604905059,1.6258332027222124,0.8002032359793532,Main Road
